"team","GP","ORtg","DRtg","AORtg","ADRtg"
"POR",3,117.95,112.98,13.55,-0.91
"IND",2,115.42,100.8,11.02,11.27
"TOR",2,114.8,125.13,10.41,-13.06
"UTA",4,113.42,98.22,9.03,13.85
"HOU",3,112.17,114.74,7.78,-2.67
"MEM",3,109.74,118.17,5.35,-6.1
"NYK",2,109.68,123.24,5.29,-11.17
"DET",2,109.32,105.05,4.93,7.02
"NOP",4,108.55,112.48,4.16,-0.41
"LAC",4,108.13,120.13,3.73,-8.06
"MIL",2,107.32,115.89,2.92,-3.82
"PHI",2,107.06,120.89,2.66,-8.82
"DEN",4,105.8,108.82,1.4,3.25
"WAS",2,104.85,112.25,0.45,-0.18
"GSW",82,112.07,104.39,0,0
"DAL",4,104.21,122.89,-0.19,-10.81
"SAC",4,103.9,109.85,-0.49,2.22
"LAL",4,102.42,108.05,-1.98,4.02
"MIN",3,102.2,113.91,-2.19,-1.84
"ORL",2,102,118.61,-2.39,-6.54
"OKC",4,100.12,103.24,-4.27,8.83
"CLE",2,99.66,110.33,-4.73,1.74
"BKN",2,98.99,111.03,-5.4,1.04
"SAS",4,98.34,105.07,-6.05,7.01
"ATL",2,96.85,108.63,-7.54,3.44
"CHA",2,96.38,101.29,-8.01,10.78
"BOS",2,95.97,101.13,-8.43,10.94
"CHI",2,95.23,124.62,-9.16,-12.55
"PHX",4,94.88,117.64,-9.51,-5.57
"MIA",2,86.65,111.61,-17.74,0.46
