"team","GP1","ORtg1","DRtg1","AORtg1","ADRtg1","GP2","ORtg2","DRtg2","AORtg2","ADRtg2","wins_in_sample"
"GSW",41,111.89,102.03,0,0,41,112.26,106.79,0,0,58
"UTA",1,94.5,119.45,-7.54,-7.57,3,120.21,90.67,13.43,21.59,3
"DEN",3,103.16,103.92,1.12,7.97,1,113.95,123.7,7.17,-11.45,2
"HOU",1,112.59,120.71,10.55,-8.82,2,111.95,111.86,5.17,0.4,2
"OKC",2,108.39,93.98,6.36,17.91,2,91.43,113.04,-15.35,-0.78,2
"POR",1,107.22,116.25,5.18,-4.37,2,123.11,111.43,16.33,0.83,2
"SAC",2,110.8,109.29,8.77,2.59,2,97.58,110.34,-9.21,1.92,2
"IND",NA,NA,NA,NA,NA,2,115.42,100.8,8.63,11.46,2
"BOS",1,88.7,89.47,-13.33,22.42,1,103.39,113.02,-3.4,-0.77,1
"CHA",2,96.38,101.29,-5.66,10.6,NA,NA,NA,NA,NA,1
"DET",2,109.32,105.05,7.29,6.84,NA,NA,NA,NA,NA,1
"LAC",2,101.21,122.73,-0.83,-10.84,2,114.92,117.42,8.13,-5.16,1
"MEM",3,109.74,118.17,7.71,-6.28,NA,NA,NA,NA,NA,1
"MIN",1,92.76,114.76,-9.27,-2.88,2,107.16,113.46,0.38,-1.2,1
"NOP",3,103.32,111.5,1.28,0.39,1,125.15,115.56,18.36,-3.3,1
"SAS",1,92.82,108.7,-9.22,3.19,3,100.16,103.8,-6.63,8.46,1
"MIL",NA,NA,NA,NA,NA,2,107.32,115.89,0.53,-3.63,1
"BKN",1,98.97,108.14,-3.07,3.75,1,99.02,114.18,-7.77,-1.92,0
"CHI",1,87.36,135.88,-14.67,-23.99,1,103.02,113.33,-3.77,-1.08,0
"CLE",1,97.87,104.78,-4.16,7.1,1,101.24,115.46,-5.55,-3.2,0
"DAL",2,99.66,124.11,-2.37,-12.23,2,108.61,121.69,1.82,-9.43,0
"LAL",3,102.36,106.45,0.33,5.44,1,102.59,113.24,-4.19,-0.98,0
"MIA",2,86.65,111.61,-15.38,0.28,NA,NA,NA,NA,NA,0
"ORL",2,102,118.61,-0.03,-6.72,NA,NA,NA,NA,NA,0
"PHI",2,107.06,120.89,5.02,-9.01,NA,NA,NA,NA,NA,0
"TOR",1,108.36,119.78,6.33,-7.89,1,121.27,130.5,14.48,-18.24,0
"WAS",1,105.71,113.42,3.68,-1.54,1,103.87,111,-2.92,1.26,0
"ATL",NA,NA,NA,NA,NA,2,96.85,108.63,-9.94,3.63,0
"NYK",NA,NA,NA,NA,NA,2,109.68,123.24,2.89,-10.98,0
"PHX",NA,NA,NA,NA,NA,4,94.88,117.64,-11.91,-5.39,0
