"game_id","game_date","home_team","away_team","home_score","away_score","home_poss","away_poss"
"21700002",2017-10-17,"GSW","HOU",121,122,100.24,108.36
"21700025",2017-10-20,"NOP","GSW",120,128,108.68,110.8
"0021700045",2017-10-23,"DAL","GSW",103,133,107.2,103.44
"0021700063",2017-10-25,"GSW","TOR",117,112,97.68,103.36
"0021700135",2017-11-04,"DEN","GSW",108,127,106.88,107.48
"0021700163",2017-11-08,"GSW","MIN",125,101,108.92,108.88
"0021700184",2017-11-11,"GSW","PHI",135,114,112.44,109.8
"0021700231",2017-11-18,"PHI","GSW",116,124,105.04,101.8
"0021700494",2017-12-25,"GSW","CLE",99,92,94.48,94
"0021700578",2018-01-06,"LAC","GSW",105,121,112.2,111.28
"0021700782",2018-02-03,"DEN","GSW",115,108,102.76,100.12
"0021700803",2018-02-06,"GSW","OKC",105,125,104.64,110.52
"0021701033",2018-03-16,"GSW","SAC",93,98,90.92,94.48
"=""0021700033""",NA,"MEM","GSW",111,101,101.28,100.88
"=""0021700075""",NA,"GSW","WAS",120,117,105.8,110.68
"=""0021700091""",NA,"GSW","DET",107,115,97.28,98.48
"=""0021700100""",NA,"LAC","GSW",113,141,103.2,102.2
"=""0021700117""",NA,"SAS","GSW",92,112,99.12,103.04
"=""0021700148""",NA,"GSW","MIA",97,80,98.56,107.48
"=""0021700199""",NA,"GSW","ORL",110,100,99.04,102.92
"=""0021700215""",NA,"BOS","GSW",92,88,103.72,98.36
"=""0021700236""",NA,"BKN","GSW",111,118,112.16,109.12
"=""0021700263""",NA,"OKC","GSW",108,91,104.44,103.92
"=""0021700276""",NA,"GSW","CHI",143,94,105.24,107.6
"=""0021700284""",NA,"GSW","NOP",110,95,103.88,103.12
"=""0021700296""",NA,"GSW","SAC",106,110,91.16,93.24
"=""0021700312""",NA,"LAL","GSW",123,127,116,116.32
"=""0021700318""",NA,"ORL","GSW",112,133,104.92,105.84
"=""0021700335""",NA,"MIA","GSW",95,123,94.48,98.56
"=""0021700346""",NA,"NOP","GSW",115,125,107.6,110.88
"=""0021700358""",NA,"CHA","GSW",87,101,102.48,96.72
"=""0021700368""",NA,"DET","GSW",98,102,96.36,101.68
"=""0021700395""",NA,"GSW","POR",111,104,95.48,97
"=""0021700417""",NA,"GSW","DAL",112,97,93.96,93.48
"=""0021700450""",NA,"LAL","GSW",114,116,112.4,116.24
"=""0021700464""",NA,"GSW","MEM",97,84,87,94.36
"=""0021700479""",NA,"GSW","LAL",113,106,101.88,106.68
"=""0021700489""",NA,"GSW","DEN",81,96,96.48,99.6
"=""0021700514""",NA,"GSW","UTA",126,101,105.48,106.88
"=""0021700528""",NA,"GSW","CHA",100,111,101.72,102.96
"=""0021700535""",NA,"GSW","MEM",141,128,99,98.68
"=""0021700562""",NA,"DAL","GSW",122,125,104.68,107.36
"=""0021700566""",NA,"HOU","GSW",114,124,102.68,102.8
"=""0021700597""",NA,"GSW","DEN",124,114,100.24,100.04
"=""0021700613""",NA,"GSW","LAC",106,125,102.44,109.32
"=""0021700622""",NA,"MIL","GSW",94,108,94.28,87.92
"=""0021700631""",NA,"TOR","GSW",125,127,103.08,97.32
"=""0021700646""",NA,"CLE","GSW",108,118,106.68,102.2
"=""0021700657""",NA,"CHI","GSW",112,119,108.72,105
"=""0021700679""",NA,"HOU","GSW",116,108,102.76,104.6
"=""0021700699""",NA,"GSW","NYK",123,112,100.8,99.36
"=""0021700713""",NA,"GSW","MIN",126,113,99.6,106.92
"=""0021700728""",NA,"GSW","BOS",109,105,96.44,101.56
"=""0021700751""",NA,"UTA","GSW",129,99,101.16,104.24
"=""0021700774""",NA,"SAC","GSW",104,119,105.6,108.04
"=""0021700815""",NA,"GSW","DAL",121,103,94.8,102.48
"=""0021700831""",NA,"GSW","SAS",122,105,96.6,101.36
"=""0021700846""",NA,"GSW","PHX",129,83,102.24,107.68
"=""0021700864""",NA,"POR","GSW",123,117,103.56,107.36
"=""0021700872""",NA,"GSW","LAC",134,127,101.96,109.96
"=""0021700887""",NA,"GSW","OKC",112,80,96.72,101.24
"=""0021700900""",NA,"NYK","GSW",111,125,103.96,100.44
"=""0021700917""",NA,"WAS","GSW",101,109,97.24,98.2
"=""0021700928""",NA,"ATL","GSW",109,114,110.8,107.68
"=""0021700963""",NA,"GSW","BKN",114,101,99.84,102
"=""0021700976""",NA,"GSW","SAS",110,107,103.12,104.92
"=""0021700984""",NA,"POR","GSW",125,108,97.88,94.56
"=""0021700994""",NA,"MIN","GSW",109,103,100.24,102.24
"=""0021701019""",NA,"GSW","LAL",117,106,103.32,103.32
"=""0021701044""",NA,"PHX","GSW",109,124,104.76,107.16
"=""0021701056""",NA,"SAS","GSW",89,75,94.24,96.04
"=""0021701087""",NA,"GSW","ATL",106,94,94.84,98.8
"=""0021701102""",NA,"GSW","UTA",91,110,92.4,97.92
"=""0021701114""",NA,"GSW","IND",81,92,87.96,90.28
"=""0021701128""",NA,"GSW","MIL",107,116,97.6,101.4
"=""0021701142""",NA,"SAC","GSW",96,112,99.36,101.32
"=""0021701153""",NA,"GSW","PHX",117,107,99.96,104.04
"=""0021701163""",NA,"OKC","GSW",107,111,103.28,100.56
"=""0021701175""",NA,"IND","GSW",126,106,98.6,97.56
"=""0021701195""",NA,"GSW","NOP",120,126,103.84,100.68
"=""0021701203""",NA,"PHX","GSW",100,117,104.04,104.6
"=""0021701217""",NA,"UTA","GSW",119,79,98.72,100.04
