"Team","W","L","PACE.Off","ORtg","DRtg","F1.Off","F2.Off","F3.Off","F4.Off","F1.Def","F2.Def","F3.Def","F4.Def"
"Atlanta Hawks",24,58,2.09991372748034,102.41,108.2,51.15,15.42,21.06,18.5,53.62,15.01,76.2,18.31
"Boston Celtics",55,27,2.0458672052512,105.25,101.54,51.76,14.18,21.48,18.75,49.48,14.29,78.44,19.13
"Brooklyn Nets",28,54,2.11055149836313,104.3,108.47,51.4,14.86,20.99,20.07,51.66,12.17,76.98,20.06
"Charlotte Hornets",36,46,2.09682507583418,106.98,106.97,50.79,12.55,22.24,23.3,53.24,13.44,80.74,16.49
"Chicago Bulls",27,55,2.09885671115588,101.27,109.08,49.73,13.76,20.56,16.39,54.18,13.45,80.61,18.37
"Cleveland Cavaliers",50,32,2.08361885453624,110.57,109.53,54.7,13.7,20.06,21.41,53.98,13.43,77.27,16.58
"Dallas Mavericks",24,58,2.03388033324918,104.14,107.41,51.29,12.5,18.03,16.57,53.22,14,78.94,19.32
"Denver Nuggets",46,36,2.07047283702213,109.57,108.8,53.62,14.9,25.66,19.77,53.88,13.83,77.45,17.35
"Detroit Pistons",39,43,2.04878566018682,104.85,104.83,51.21,13.59,22.66,16.93,52.38,14.95,78.47,17.19
"Golden State Warriors",58,24,2.10033451596553,112.26,104.22,56.91,15.26,21.05,19.48,50.44,13.89,76.31,18.55
"Houston Rockets",65,17,2.07766135155657,112.23,103.76,55.05,13.83,21.25,23.3,52.14,14.54,79.92,17.12
"Indiana Pacers",48,34,2.04381675525183,107.19,105.59,52.46,13.47,22.68,17.29,52.71,15.71,76.21,17.45
"LA Clippers",42,40,2.10550621669627,107.7,107.68,52.69,14.51,23.52,22.22,51.97,13.91,76.06,20.25
"Los Angeles Lakers",35,47,2.1370007535795,104.17,105.57,51.72,15.22,23.61,18.82,51.44,13.74,77.7,19.01
"Memphis Grizzlies",22,60,2.02945445318447,101.84,108.42,49.97,15.34,22.37,20.05,52.88,15.17,76.49,25.63
"Miami Heat",44,38,2.03623682890115,104.48,103.97,51.96,14.51,21.47,17.28,50.67,14.29,79.01,21.48
"Milwaukee Bucks",44,38,2.04150277357539,107.84,107.13,53.12,14.02,20.39,22.02,52.79,15.65,75.94,21.98
"Minnesota Timberwolves",47,35,2.04675586972987,110.77,108.37,52.3,12.59,24.41,22.54,53.92,15.25,76.35,18.89
"New Orleans Pelicans",48,34,2.13155600100226,107.69,105.58,54.12,14.38,20.03,18.28,51.32,13.83,76.73,17.47
"New York Knicks",29,53,2.07415027735754,104.13,108.37,51.03,14.67,24.12,17.03,52.15,13.4,76.66,20.84
"Oklahoma City Thunder",48,34,2.07196167423096,107.63,104.67,51.4,13.96,27.68,19.68,52.52,16.07,77.38,19.35
"Orlando Magic",25,57,2.09080587937152,102.77,107.69,51.18,14.45,19.98,18.05,52.46,14.15,75.62,18.74
"Philadelphia 76ers",52,30,2.11828109201213,107.45,102.01,53.53,16.15,25.27,19.79,49.19,13.86,78.55,21.8
"Phoenix Suns",21,61,2.1444506470439,100.84,110.55,49.5,15.25,22.47,20.35,53.25,13.07,76.45,21.21
"Portland Trail Blazers",49,33,2.06545178435839,106.13,104.19,51.1,13.59,23.26,19.24,50.31,12.78,79.13,19.34
"Sacramento Kings",27,55,2.0284079979752,101.12,108.95,50.23,14.04,21.46,14.27,54.22,14.77,77.58,19.93
"San Antonio Spurs",47,35,2.02295995945261,105.53,102.45,50.72,13.5,23.71,18.92,50.73,14.45,78.6,17
"Toronto Raptors",59,23,2.08058497226425,110.96,103.36,53.94,13.27,23.04,19.84,50.09,14.27,77.69,21.22
"Utah Jazz",48,34,2.03468488990129,106.23,101.61,52.71,14.99,21.5,20.23,50.65,15.19,79.81,19.03
"Washington Wizards",43,39,2.05913875598086,106.91,106.21,52.47,14.63,23.48,19.64,52.22,14.94,77.12,21.23
