"Team","AST_pg","TOV_pg","W"
"Atlanta Hawks",23.7,15.6,24
"Boston Celtics",22.5,14,55
"Brooklyn Nets",23.7,15.2,28
"Charlotte Hornets",21.6,12.7,36
"Chicago Bulls",23.5,14,27
"Cleveland Cavaliers",23.4,13.7,50
"Dallas Mavericks",22.7,12.3,24
"Denver Nuggets",25.1,15,46
"Detroit Pistons",22.8,13.5,39
"Golden State Warriors",29.3,15.4,58
"Houston Rockets",21.5,13.8,65
"Indiana Pacers",22.2,13.3,48
"LA Clippers",22.3,14.7,42
"Los Angeles Lakers",23.8,15.8,35
"Memphis Grizzlies",21.5,15,22
"Miami Heat",22.7,14.4,44
"Milwaukee Bucks",23.2,13.8,44
"Minnesota Timberwolves",22.7,12.5,47
"New Orleans Pelicans",26.8,14.9,48
"New York Knicks",23.3,14.7,29
"Oklahoma City Thunder",21.3,14,48
"Orlando Magic",23.4,14.5,25
"Philadelphia 76ers",27.1,16.5,52
"Phoenix Suns",21.3,15.7,21
"Portland Trail Blazers",19.5,13.5,49
"Sacramento Kings",21.6,13.7,27
"San Antonio Spurs",22.8,13.1,47
"Toronto Raptors",24.3,13.4,59
"Utah Jazz",22.4,14.7,48
"Washington Wizards",25.2,14.6,43
